Region,País,Años,Sexo,15-19 Años,20-24 Años,N° de suicidios,G 15-19 Años,G 20-24 Años
Africa,R?union,2014,masculino,1.0,4.0,5.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2015,femenino,0.0,1.0,1.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2015,masculino,2.0,4.0,6.0,Generación Y/Generación Z,Generación Y
Africa,R?union,2016,femenino,1.0,1.0,2.0,Generación Z,Generación Y
Africa,R?union,2016,masculino,5.0,5.0,10.0,Generación Z,Generación Y
Africa,Sao Tome and Principe,1984,masculino,0.0,1.0,1.0,Generación X,Boomers
Africa,Seychelles,1985,femenino,0.0,1.0,1.0,Generación X,Boomers/Generación X
Africa,Seychelles,1985,masculino,1.0,2.0,3.0,Generación X,Boomers/Generación X
Africa,Seychelles,2002,masculino,1.0,0.0,1.0,Generación Y,Generación X/Generación Y
Africa,Seychelles,2003,masculino,1.0,0.0,1.0,Generación Y,Generación X/Generación Y
Africa,Seychelles,2004,masculino,1.0,0.0,1.0,Generación Y,Generación X/Generación Y
Africa,Seychelles,2005,masculino,1.0,0.0,1.0,Generación Y,Generación X/Generación Y
Africa,Seychelles,2006,masculino,1.0,0.0,1.0,Generación Y,Generación Y
Africa,Seychelles,2008,masculino,1.0,0.0,1.0,Generación Y,Generación Y
Africa,Seychelles,2011,masculino,1.0,0.0,1.0,Generación Y,Generación Y
Africa,Seychelles,2013,masculino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Seychelles,2014,masculino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Seychelles,2015,femenino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Seychelles,2015,masculino,1.0,0.0,1.0,Generación Y/Generación Z,Generación Y
Africa,Seychelles,2016,masculino,1.0,0.0,1.0,Generación Z,Generación Y
Africa,Seychelles,2019,masculino,1.0,0.0,1.0,Generación Z,Generación Y/Generación Z
Africa,South Africa,1996,femenino,7.0,5.0,12.0,Generación X,Generación X
Africa,South Africa,1996,masculino,7.0,20.0,27.0,Generación X,Generación X
Africa,South Africa,1997,femenino,3.0,1.0,4.0,Generación X/Generación Y,Generación X
Africa,South Africa,1997,masculino,6.0,18.0,24.0,Generación X/Generación Y,Generación X
Africa,South Africa,1998,femenino,12.0,5.0,17.0,Generación X/Generación Y,Generación X
Africa,South Africa,1998,masculino,13.0,22.0,35.0,Generación X/Generación Y,Generación X
Africa,South Africa,1999,femenino,3.0,7.0,10.0,Generación X/Generación Y,Generación X
Africa,South Africa,1999,masculino,29.0,29.0,58.0,Generación X/Generación Y,Generación X
Africa,South Africa,1999,Unknown,1.0,0.0,1.0,Generación X/Generación Y,Generación X
Africa,South Africa,2000,femenino,10.0,8.0,18.0,Generación X/Generación Y,Generación X
Africa,South Africa,2000,masculino,12.0,29.0,41.0,Generación X/Generación Y,Generación X
Africa,South Africa,2001,femenino,13.0,14.0,27.0,Generación Y,Generación X
Africa,South Africa,2001,masculino,31.0,55.0,86.0,Generación Y,Generación X
